1,ACTRESSES,ACTORS
Quentin Tarantino,51,78
James (I) Cameron,44,114
Oliver (I) Stone,37,193
Cameron Crowe,31,53
Ethan Coen,25,65
Joel Coen,25,65
John (I) Hughes,22,27
Ron Howard,18,79
George Lucas,17,87
Zach Braff,16,25
Herbert (I) Ross,16,23
Christopher Nolan,14,60
John (I) Landis,14,29
Clint Eastwood,12,58
Jay Levey,12,52
Sofia Coppola,11,40
John Musker,11,23
Ron Clements,11,23
David Koepp,11,19
Francis Ford Coppola,10,44
Andy Wachowski,10,26
Larry Wachowski,10,26
Steven Soderbergh,9,75
David Fincher,9,54
Mike (I) Judge,8,25
Mel (I) Gibson,7,53
Darren Aronofsky,7,21
Paul (I) Verhoeven,7,14
Frank Darabont,5,56
Guy Ritchie,4,60
Andrew Adamson,4,21
Vicky Jenson,4,21
Rob Reiner,2,32
